2024-05-13 17:07:49 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 19.0.1 with PID 39800 (/Users/saikumarpadamati/Desktop/Event-driven-microservices/microservices-demo/twitter-to-kafka-service/target/classes started by saikumarpadamati in /Users/saikumarpadamati/Desktop/Event-driven-microservices)
2024-05-13 17:07:49 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-13 17:07:49 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 0.338 seconds (process running for 0.707)
2024-05-13 17:07:49 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - TwitterToKafkaServiceApplication started.....
2024-05-13 17:07:49 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-java -Microservice -Spring -Kafka -ElastcSearch]
2024-05-13 17:11:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 19.0.1 with PID 39879 (/Users/saikumarpadamati/Desktop/Event-driven-microservices/microservices-demo/twitter-to-kafka-service/target/classes started by saikumarpadamati in /Users/saikumarpadamati/Desktop/Event-driven-microservices)
2024-05-13 17:11:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-13 17:11:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 0.329 seconds (process running for 0.633)
2024-05-13 17:11:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - TwitterToKafkaServiceApplication started.....
2024-05-13 17:11:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-java -Microservice -Spring -Kafka -ElastcSearch]
2024-05-13 17:11:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Hello-microservices
2024-05-13 17:13:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 19.0.1 with PID 39922 (/Users/saikumarpadamati/Desktop/Event-driven-microservices/microservices-demo/twitter-to-kafka-service/target/classes started by saikumarpadamati in /Users/saikumarpadamati/Desktop/Event-driven-microservices)
2024-05-13 17:13:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-13 17:13:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 0.328 seconds (process running for 0.657)
2024-05-13 17:13:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - TwitterToKafkaServiceApplication started.....
2024-05-13 17:13:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-java -Microservice -Spring -Kafka -ElastcSearch]
2024-05-13 17:13:53 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Hello-microservices
2024-05-13 18:23:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 19.0.1 with PID 41415 (/Users/saikumarpadamati/Desktop/Event-driven-microservices/microservices-demo/twitter-to-kafka-service/target/classes started by saikumarpadamati in /Users/saikumarpadamati/Desktop/Event-driven-microservices)
2024-05-13 18:23:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-13 18:23:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 0.338 seconds (process running for 0.665)
2024-05-13 18:23:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - TwitterToKafkaServiceApplication started.....
2024-05-13 18:23:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-java -Microservice -Spring -Kafka -ElastcSearch]
2024-05-13 18:23:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Hello-microservices
2024-05-13 18:23:26 [Twitter Stream consumer /  [1][initializing]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:26 [main] INFO  c.m.d.t.t.k.s.r.i.TwitterKafkaStreamRunner - Started filtering twitter stream for keywords [-java -Microservice -Spring -Kafka -ElastcSearch]
2024-05-13 18:23:26 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:26 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 250 milliseconds
2024-05-13 18:23:27 [Twitter Stream consumer /  [1][Waiting for 250 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:27 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:27 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 500 milliseconds
2024-05-13 18:23:27 [Twitter Stream consumer /  [1][Waiting for 500 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:27 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:27 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 1000 milliseconds
2024-05-13 18:23:28 [Twitter Stream consumer /  [1][Waiting for 1000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:29 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:29 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 2000 milliseconds
2024-05-13 18:23:31 [Twitter Stream consumer /  [1][Waiting for 2000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:31 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:31 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 4000 milliseconds
2024-05-13 18:23:35 [Twitter Stream consumer /  [1][Waiting for 4000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:35 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:35 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 8000 milliseconds
2024-05-13 18:23:43 [Twitter Stream consumer /  [1][Waiting for 8000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:43 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:43 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2024-05-13 18:23:59 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:23:59 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-13 18:23:59 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2024-05-13 18:24:15 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-13 18:24:16 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
